Q23008452	Ronja von Rönne
Q1456676	Robert Rice Reynolds
Q238739	George Beadle
Q889359	John Lawrence Manning
Q15438439	John R. Milton
Q7298808	Raymond Gower
Q7365476	Ronan Murray
Q1631330	2010 World Seniors Championship
Q1465663	Fritz Behrens
Q214173	Trujillo
Q19313	Barysau
Q19667286	Alessandro Luparini
Q38654	Walter Eucken
Q12355078	Sergej Kuznecov
Q66645732	2019 CS Warsaw Cup
Q22073936	Lionel Taminiaux
Q374575	1878 papal conclave
Q2018092	John Robert McNeill
Q4138308	James Gillespie
Q1609304	Juan Ignacio Luca de Tena, 2nd Marquis of Luca de Tena
Q471209	Jáchym Topol
Q976924	Donald Hall
Q5947259	Juan Antonio Devesa
Q7983682	Wes Fletcher
Q5541156	George Jones
Q24764	municipality of the Philippines
Q2920042	Shlomo Pines
Q7440741	Seamus Conneely
Q7790235	Thomas Groves
Q1279018	Eberhard Goldhahn
Q324974	Mohammad Khan Qajar
Q2536720	Félix Albert Théodore Delprat
Q3131425	Henri Laugier
Q654374	Battle of Cambrai
Q2574557	Alberto Gallardo
Q15784	Peter Vladimirov
Q433537	Marit Allen
Q182944	Shakespeare in Love
Q3556913	Vicente Ruiz Monrabal
Q11791127	Nicolás Palma
Q984262	Simon Flexner
Q2889462	Battle of Najaf
Q1096685	Leonid Beda
Q2256634	Francisco Lojacono
Q689348	Adam Holloway
Q3745298	Filippo Porcari
Q6761232	Maria Gordon
Q12322324	Knud Kyhn
Q16169717	Pedro Argüelles Salaverría
Q61675	Detlef Schrempf
Q233203	Princess Louise of Prussia
Q10382956	Tommy Pearson
Q16698925	Eleonore Charlotte von Kettler
Q5343428	Edward Herbert, 2nd Earl of Powis
Q7801672	Tigmanshu Dhulia
Q28130514	Treaty on the Prohibition of Nuclear Weapons
Q28127	1971-72 Cypriot Cup
Q7925090	vice admiral
Q21667475	A woman holding a baby
Q15869	Freddie Mercury
Q305361	John Bellamy Foster
Q137106	Howard Florey
Q2347330	Steve Sutton
Q5538635	George Drury
Q4800348	Arthur Stanhope, 6th Earl Stanhope
Q76347	Karl von Spreti
Q6218515	John Aldrich
Q4341553	Pinocchio
Q3940674	Romano Guido Nimis
Q5552656	Gerry Bowler
Q4235165	Richard Kosolapov
Q7615130	Steven Paul
Q213427	Aaron Ramsey
Q20731	Pêr Denez
Q15990451	Wolfgang Schirmer
Q41	Greece
Q3172406	Jean Grégoire
Q2847512	André Chazalon
Q752134	Camões Prize
Q3379587	Philippe Christophe Hallez
Q5026226	Cameron Darkwah
Q19500	Wolverhampton Wanderers F.C.
Q334057	Henry Fawcett
Q4304309	Moscow university boarding school
Q3106061	Gilles Artigues
Q42585	Kingdom of Bohemia
Q3615360	Paquito
Q3427179	Renée Simonot
Q1406126	Laureate Cross of Saint Ferdinand
Q7058633	Pessach Hebroni
Q441148	Yves Colin de Verdière
Q85853	Karl Ravens
Q7340915	Robbie Herrera
Q1361905	Algimantas Nasvytis
Q5789738	Ian Chubb
Q18950	Theo de Raadt
Q90009	Heinz Politzer
Q19300172	Jordi Casas-Salat i Fossas
Q1745010	Klaus Dornisch
Q5262186	Derek McGrath
Q3779498	Guido Viceconte
Q69475	Karl-Heinz Moehle
Q5234936	David Herbert Donald
Q313811	Edwin Flack
Q5992425	Manuel Benítez Parodi
Q1156878	Joseph Polchinski
Q6238623	John Henderson
Q3442370	Rose Dieng Kuntz
Q4821444	Augustus Henry Eden Allhusen
Q109560	Kai Gehring
Q124742	Udo Wachtveitl
Q1667757	International Institute of Social History
Q5106048	Chris Bush
Q843606	Claudio Della Penna
Q350671	Adam Rachel
Q3440619	Robert Austerlitz
Q249782	A Special Day
Q2374149	botanist
Q1393584	Karl Riegel
Q4935618	Bobby Svarc
Q4933427	Bob Moffat
Q117249	Robbie Robertson
Q20017662	Arnoldus Josephus Aloysius Gilissen
Q683532	Rafael Núñez
Q1612496	Hermann Roemer
Q128473	Auguste Regnaud de Saint-Jean d'Angély
Q5220850	Danny Steel
Q535246	Felipe Acedo Colunga
Q20876502	Josep Pérez Moya
Q3707247	Diego Oliveira
Q730866	1973–74 Serie B
Q41564	David Johnston
Q39952	Ptolemy VI
Q215347	Gottfried Lessing
Q647035	2005–06 Albanian Superliga
Q6531126	Leslie Scott
Q4354819	Karl Isakson
Q3074292	Florimond Girard
Q59073	Places in the Heart
Q371394	Bangladesh Liberation War
Q4911445	Bill Yates
Q531559	Monia Baccaille
Q129034	2012–13 Football League Championship
Q149062	Samuel Morton Peto
Q21315	Rittershoffen
Q1095419	Clarence Frederick Lea
Q561069	Dekel Keinan
Q21670144	Revd W Morgan
Q26231	Corey Stoll
Q4912700	Billy Herbert
Q7409868	Sammy Youssouf
Q324062	Gilles Peress
Q48804713	Siege of Erivan
Q817692	Benjamin Silliman, Sr.
Q4062575	John F. Allen
Q155109	Giovanna Trillini
Q569028	Leon Cort
Q16236927	Sam Muggleton
Q567032	Annie Reich
Q1967257	Edna F. Kelly
Q5300466	Doug Farquhar
Q207473	Călin Popescu-Tăriceanu
Q144	dog
Q52155954	Carel Frederik Louis De Wild
Q883011	James Fairman Fielder
Q2832937	Alex Dias
Q2563521	Steven Saunders
Q1793128	1903 Norwegian Football Cup
Q21665315	William Jones (Ffestinfab, fl 1872-1915)
Q10819	Mariano Rajoy
Q18572637	Robbing the Pigeon Roost (Chasing Doves)
Q455486	Bruno Cheyrou
Q3497552	Oliver Stanley
Q7526489	Sir Edmund Lechmere, 3rd Baronet
Q2577278	Willi Lausen
Q24578981	Nicola Bagioli
Q429011	Howard Nemerov
Q332890	Angus Maude
Q963129	Lawrence Taylor
Q18786473	Pete's Dragon
Q1371768	Wolf Children Ame and Yuki
Q5340642	Eduardo J. Padrón
Q2830133	Alain Néri
Q504160	Barry Miller
Q107797	Mathias Döpfner
Q571280	German submarine U-126
Q1131356	Theatre World Award
Q355899	G. P. Sippy
Q4912478	Billy Dougall
Q324932	Lucien Lévy-Bruhl
Q696659	Martin Lee
Q334318	James Chuter Ede
Q279209	Salvador Zubirán
Q3103962	Grada Hermina Marius
Q113997	Kurt Kasznar
Q12077132	Oleksii Azarov
Q18625165	Kenneth Van Rooy
Q2984478	The Naked Time
Q92287	Jürgen Osterhammel
Q216929	Oliver & Company
Q21068894	George Stevenson
Q961728	Alfredo Mazzoni
Q19924910	Yvonne on the doorstep
Q3750781	Antonio Rubió y Lluch
Q886218	Philip H. Hoff
Q439446	Peri Gilpin
Q778573	Daniel Duval
Q3879474	Nunzia De Girolamo
Q12280643	Yves Saint-Geours
Q463174	John of Flanders
Q6775353	Martin Dunne
Q989032	Giandomenico Baldisseri
Q4061570	Yelena Alexanyan
Q1748562	Orna Porat
Q944674	Teófila Martínez
Q706960	Charles Errard
Q15134863	Robert Lenz
Q333309	Ivor Richard, Baron Richard
Q369987	USS Enterprise
Q7964915	Walter Galpin Alcock
Q5764623	Carl Goos
Q2905342	Claire Delbos
Q261547	Rae Dawn Chong
Q561231	Hans Albers
Q6834410	Michael Simpkins
Q24055276	Marta Segarra
Q325032	Boris Asafyev
Q2622625	Juan Rodrigo Rojas
Q57641	Viktor Orbán
Q1226759	Neil MacGregor
Q595653	Rodrigo de Souza Cardoso
Q1262933	Jamie McLennan
Q387458	Charles Bradlaugh
Q51549	Jacques Tati
Q334138	L'Origine du monde
Q129228	René Girard
Q12326435	Matthew O'Callaghan
Q4776368	Antonino Saviano
Q274996	Émile Cartailhac
Q3568335	Willem Canter
Q4078811	Sergej Barshev
Q535847	Saint-Brice-sous-Forêt
Q213676	Liédson
Q515632	Ossie Davis
Q2427354	Gennadi Yukhtin
Q290093	Fernand Dumont
Q336657	Alexander Hamilton, 10th Duke of Hamilton
Q1101938	Clive Davis
Q5674022	Ana Ofelia Murguía
Q2390659	Willem Jan Otten
Q884940	Roger Sherman Baldwin
Q1093352	2011 Citi Open
Q382257	Ryan Kwanten
Q230050	Isabella of Hainault
Q4962939	Brian Alderson
Q2829670	Alain Clary
Q919206	Gilbert Roland
Q15449799	Rüdiger Görner
Q4886729	Ben Wright
Q3756469	Gabriel Ferrari
Q890132	The War Is Over
Q881439	Octaviano Ambrosio Larrazolo
Q1528193	Hermann Runge
Q1644186	Kenneth Udjus
Q463265	Elizabeth Gurley Flynn
Q975831	Gary Taylor-Fletcher
Q483379	Gwen Stefani
Q20752124	Andreas Bendlin
Q6320136	Jérémy Hélan
Q939990	Erik Bergman
Q2698482	Calvin College
Q361336	Bill Condon
Q3479582	Serge de Beketch
Q206493	Sèvres
Q368406	Nicola Caricola
Q5727031	Henry Pinkerton
Q2939561	Carmela Silva
Q4362693	Tatyana Piletskaya
Q4908918	Bill Etherington
Q2085092	1872–73 FA Cup
Q201281	2008 Japan Super Series
Q4588676	1993 Nations Cup
Q885924	George Washington Glick
Q17037092	Joan Vilà i Valentí
Q518645	Reinhard Klimmt
Q1392377	Josef Páleníček
Q3356997	Oscar Hold
Q1697403	Johannes Dichgans
Q1335527	Shigeru Ishiba
Q3115415	Grant Withers
Q867813	Claire Danes
Q5083597	Charles Williams
Q18115378	Léon de Lanzac de Laborie
Q661278	1998 Australian Open
Q13581073	Jean-Marc Berliere
Q163573	Algeciras Conference
Q270092	Martha Coolidge
Q2665671	Leonardo de Matos Cruz
Q18583929	To the End
Q2421158	Marko Vovchok
Q4721740	Alf Quantrill
Q5543209	George Parris
Q3751515	Franco Pian
Q3506741	Syam Ben Youssef
Q103488	Grete Weil
Q76807	Max Delbrück
Q286459	Émile Senart
Q59134944	Design for a candlestick
Q590183	Nikolai Drozdov
Q1051236	Soyuz TM-29
Q5854915	Facultad de Filosofía y Letras (Universidad de Granada)
Q18603681	Sunlight and Shadow
Q16009948	George Crisp
Q716961	Luigi Vitale
Q2900757	Biagio Goggio
Q1745077	Klaus Fiedler
Q596947	Levko Revutsky
Q7379837	Rune Vindheim
Q18412191	Peter Fratzl
Q12345921	Béla Bethlen
Q7983952	Wesley L. McDonald
Q527509	Albio Sires
Q2965933	Christine Jordis
Q3484563	Simone Forti
Q1174286	David E. Kuhl
Q3046385	Earl Hurd
Q36380	Society of Jesus
Q4354797	Aubrey Powell
Q3939120	Roberto Rossi
Q29097	Renato Dirnei Florêncio
Q1304433	John Franklin Miller
Q1777632	Mike Singletary
Q2571379	Wilfried Telkämper
Q271080	Duchess Amelia of Württemberg
Q37279086	Member of the 4th Northern Ireland Assembly
Q658008	John Theophilus Desaguliers
Q670475	Jean-Allarmet de Brogny
Q127043	Garmisch-Partenkirchen
Q6198196	Jim Smith
Q64549226	Hurricane Daniel
Q4491632	Pavel Fonvizin
Q5274561	Diego Arias de Miranda
Q213510	Belgian Congo
Q6768138	Mark Hughes
Q436712	Ben Elton
Q2131368	Election
Q5720486	Henry Duckworth
Q263683	Manuel Gálvez
Q6889925	Barcelona Medal of Honor
Q1876278	Luigi Sincero
Q1100075	Clemens Schwalbe
Q1139047	Antonio Candido
Q526181	David Rayfiel
Q5239892	David Smith
Q1926	Alou Diarra
Q1404258	Alain Cadec
Q329998	Irwin Kostal
Q3550354	Bonnie Franklin
Q449629	Joe Garner
Q333259	William Rodgers
Q10401417	Dean Spink
Q2068877	Chauncy Harris
Q274704	Jane Morgan
Q731808	George Bentham
Q697183	Gabriel de Broglie
Q419060	Akira Yoshimura
Q186282	Basilica di Santa Maria Maggiore
Q752796	Sinclair User
Q2574880	Libris Prize
Q1050966	Catherine Filene Shouse
Q12614	Ivo Lapenna
Q214443	vice admiral
Q22224	Troisfontaines
Q160852	William Ewart Gladstone
Q1223109	Luca Argentero
Q52589	Emil Zátopek
Q1174535	David George Kendall
Q1086458	Navy Distinguished Service Medal
Q7364973	Ronald J. Hays
Q647575	Lionello Manfredonia
Q6004934	María del Carmen Dueñas
Q944323	Jeroen Brouwers
Q708492	councillor
Q29112	Spartak Moscow
Q4937928	Bogusław Liberadzki
Q55932	Leszek Balcerowicz
Q42323	Pius XI
Q2424160	Thomas Gebhart
Q5347995	Egil Monn-Iversen
Q2560073	Luis Aguiar
Q18558478	member of the Chamber of Deputies of the Italian Republic
Q1748291	Wolfgang Schreier
Q707564	José Raúl Vera López
Q2783837	Fernando Sánchez Cipitria
Q88844	Walter Helmut Fritz
Q7412628	Samuel Silkin, Baron Silkin of Dulwich
Q1593218	Alexander Men Prize
Q15587672	Jordi Porta i Ribalta
Q272610	Cormac McCarthy
Q585828	Seton Hall University
Q894948	Boualem Sansal
Q5022977	Callum McNish
Q3716607	1979 Dutch Open
Q473362	Franz Immig
Q152298	Gherman Titov
Q57299	Walter Baade
Q3595529	Vijayashanti
Q118051	Anderson Dawson
Q1777923	Walter Ormeño
Q36532309	2017 Connecticut Open
Q5522817	Gareth Davies
Q12830	Reinhard Selten
Q3264490	Loïc Bouvard
Q7526842	Sir George Bowyer, 7th Baronet
Q6768601	Mark Lillis
Q10448831	Neil Teggart
Q2369256	Susanne Hermans
Q19287405	Jürgen Hammerstein
Q981460	Francisco Ibáñez Talavera
Q1958	Vreni Schneider
Q983591	Carlos Daniel Tapia
Q2538027	Darren Jackson
Q1792159	Royal Swedish Academy of Letters, History and Antiquities
Q1670327	Jean Taylor
Q21670398	Revd. R Roberts
Q513939	Hervé de Luze
Q13518238	Thomas Bidegain
Q327403	Henri Germain
Q451916	Leslie Browne
Q3169827	Jean-Pierre Wallot
Q586855	STS-45
Q743995	E. W. Marland
Q84581	Malu Dreyer
Q10342494	Otto-Ulrich Blum
Q1223678	Dietrich Beyer
Q3528215	Tiennot Grumbach
Q7026124	Nicholas Ridley-Colborne, 1st Baron Colborne
Q4285910	Vladimir Matskevich
Q4732804	Allison Nelson
Q5581681	Muirhead Bone
Q881941	William Slade
Q523541	Hans Edvard Nørregård-Nielsen
Q330432	Brad Harris
Q263670	Jana Kramer
Q457290	Ioan Holender
Q943363	Nick Foligno
Q5252470	Deiniol Graham
Q560834	Donald G. Saari
Q47492	Gaza City
Q266507	Marcelo Gallardo
Q232113	Anna Karina
Q587339	Simon Jenkins
Q150804	The Pianist
Q3064461	Robin McKinley
Q936096	Frederik Stang
Q16131230	Prime Minister's Prize for Hebrew Literary Works
Q95851	Helene Weber
Q50104	Debbie Wasserman Schultz
Q560286	Mark Gatiss
Q63023	Friedrich Wilhelm Freiherr von Bülow
Q445477	Alaixys Romao
Q7528992	Stuart Samuel
Q4156564	Sergey Degayev
Q193212	Seann William Scott
Q20639433	Chris Galvin
Q4600565	2002 Trophée Lalique
Q7790214	Thomas Griffiths
Q4476175	John Ward
Q75622	Elizabeth Hurley
Q237801	Hildegard Behrens
Q503638	Easy Rider
Q2581190	Mohamed Amine Dennoun
Q477232	Aktobe
Q2371342	Mikhail Karger
Q107274	Dominik Graf
Q21667795	A young woman standing and wearing a hat
Q3992811	Tommaso Napoli
Q721391	Billy McKay
Q19576833	2015 Tour de Pologne
Q20738815	Jeff Reine-Adelaïde
Q1651543	The Magic Flute
Q2580131	William Nierenberg
Q1063426	Charles-Philippe Larivière
Q59826654	Vista da Cidade de St. Sebastião do Rio de Janeiro tirada do Convento de Sta. Thereza
Q2645865	Alfred Schäfer
Q21667834	A young woman wearing a hat
Q1726311	Wilks Memorial Award
Q115338	Judith Kuckart
Q2634416	Carlos Alfaro Moreno
Q64524496	Tropical Storm Kevin
Q3810722	João Marcos
Q942980	Julius Zeyer
Q53747	Göran Persson
Q302203	Teddy Kollek
Q11672	Carroll A. Campbell, Jr.
Q222877	FC Inter Turku
Q95305	Karl Albert von Kamptz
Q7612829	Steve Hetzke
Q125728	Konrad Osterwalder
Q65329	Hermann Paul
Q746756	Royal Medal
Q904822	Krisztina Deák
Q5621502	Gustavo Silva Conceição
Q1645179	Vera Caspary
Q233947	Theodore Schultz
Q544089	Sarah Boyack
Q2341317	John Randolph of Roanoke
Q3846451	Marco Saltarelli
Q1349042	Karl Taylor Compton
Q6224828	John Callagher
Q2418026	Theodor Müller
Q1322	José Manuel Balmaceda
Q1336991	Renato Zaccarelli
Q3695122	Cosimo La Penna
Q2072036	Nikolay Shatsky
Q938462	Publius Sempronius Sophus
Q56238580	Guillaume Narjollet
Q69872	Georg Lunge
Q1021681	Ypsilanti
Q315528	Lee Teng-hui
Q559347	Aleksandr Ivchenko
Q387713	1956 AFC Asian Cup
Q453853	Gnaeus Cornelius Scipio Asina
Q1685608	Jean Jules Jusserand
Q208665	Arthur Henderson
Q1223704	Dietrich Bürkel
Q20745578	Franz von Bagnato
Q3098297	Gareth Edds
Q258750	India.Arie
Q6297411	Joyce Bulifant
Q460375	Anders Limpar
Q1222120	Cesare Monti
Q71397	Eberhard Jäckel
Q467352	Bella Rosenfeld
Q5616163	Guillermo Gómez-Peña
Q210083	Enzo Francescoli
Q202326	The Godfather Part III
Q843949	Lagaan
Q7328936	Richard Scott
Q466244	Gale Storm
Q631758	Jonathan Quick
Q94092	Hans Benndorf
Q2958585	Charles Bosson
Q1396931	Kevin Kyle
Q7705002	Terry Shanahan
Q237221	Julie Newmar
Q2634836	Zori Balayan
Q7367506	Roscoe D'Sane
Q7529817	Sir William Welby-Gregory, 4th Baronet
Q354330	Braun
Q16730623	Anthony Katagas
Q901661	Daniel Bogdanović
Q5563055	Ginger Owers
Q36977715	Reinhard Büttner
Q1755508	Lilyan Tashman
Q234061	Erie
Q482907	Bryan Adams
Q95143	Carol Reed
Q3417253	Rafael Ortega
Q849047	Komsomolskaya Pravda
Q3719044	Edgar Bowers
Q7519467	Simon Osborn
Q2548374	Iván Guerrero
Q2427505	Thomas Stritzl
Q64358348	Hurricane Jova
Q1507913	Independent Labour Party
Q15434284	Katja Leikert
Q5948197	Hurricane Olivia
Q16058700	Hiram Raleigh Kennedy
Q2306315	Diego Rodríguez Da Luz
Q1421298	2007 Paris–Nice
Q937157	Valdo Filho
Q1293950	Edward Vivian Robertson
Q501712	Andrey Zhegalov
Q3678991	Claiton Machado dos Santos
Q4311337	Svetlana Navasardyan
Q221940	K.S.C. Lokeren Oost-Vlaanderen
Q2150573	Unterelsaß
Q878239	García II of Galicia
Q1128756	Mary and Max
Q21441	Nothalten
Q64026974	Tropical depression One
Q3055781	Epiphanny Prince
Q235186	Elisabeth of Bavaria, Queen of Belgium
Q922412	Jeff Hughes
Q1064064	Charles David Allis
Q45294	Eugen Roth
Q5542960	George O'Callaghan
Q1927710	Michael Hartmann
Q505705	Andrew H. Knoll
Q3938718	Roberto Corti
Q64556098	Tropical Storm Greg
Q531001	James Pleasants
Q534683	Francesco Barberini
Q1441676	American Music Award for Favorite Pop/Rock Band/Duo/Group
Q724384	Magnesia Litera
Q3595902	Padmini Kolhapure
Q2944601	Matjaž Florijančič
Q21320	Epfig
Q295803	Tom Hiddleston
Q18591584	View of the Grand Canal
Q3110444	Giannis Skopelitis
Q16192724	Tommy Graham
Q3081862	Francisco Huenchumilla
Q22484	Furdenheim
Q10514620	Charlie Henry
Q6263024	John Wardlaw-Milne
Q32777	Vladimír Špidla
Q1370873	Ogden L. Mills
Q5107895	Chris Robertson
Q5413878	Pedro José Campos García
Q6271344	Jon Owen Jones
Q3851291	Massimo Gregori
Q377835	Adrián Colunga
Q12906	Helmar Frank
Q106175	John Cusack
Q7659660	Syd Bycroft
Q7159088	Peder Christian Holst
Q68126	Felicia Langer
Q1709653	Steve Larmer
Q58809440	Stephen Self
Q10570756	Lundblad prize
Q233085	Sarah Hyland
Q2172912	Rudolf Hellmann
Q7436050	Scott Brown
Q16328776	Ioannis D. Kapodistrias
Q41618	Leo VI the Wise
Q1347869	Alen Škoro
Q1903789	Martin Friedland
Q64518692	Tropical Storm Kay
Q512385	1911 German football championship
Q1420038	Queen's University
Q158078	Alfred Schnittke
Q1355189	Laurent Robuschi
Q630788	József Eisenhoffer
Q684712	John S. Battle
Q1510064	Black Bread
Q2840961	Amalia Fleming
Q391300	Nick Gibb
Q954743	Viktor Chebrikov
Q470848	Mel Tormé
Q6504857	Lawrie Pearson
Q84423	Martin Buber
Q310217	David Hemmings
Q222704	János Kulka
Q12731414	John Mark Taylor
Q1460567	Simone Bonomi
Q18583822	Tidings from the Front (The Letter)
Q433097	Luis Hernández
Q636334	Schiller Memorial Prize
Q296133	Lisandro López
Q41770153	François Gault
Q421554	2012 HP Open
Q1244493	Edward Gay Rohrbough
Q720337	William Christie
Q70972	Kingdom of France
Q59826661	Vista da Fazenda Pombal, Colônia Leopoldina, Bahia
Q729054	William Paterson
Q10496202	Jimmy Kidd
Q3124078	Gérard Lanvin
Q272650	Rossana Rossanda
Q6176278	Jeffrey Sharp
Q726244	Ashoke Sen
Q554710	Mariano Martín
Q21357	Engwiller
Q5947135	Hurricane Alma
Q333289	John Anderson, 1st Viscount Waverley
Q112835	Frank Schirrmacher
Q7839411	Trevor Ross
Q1465304	Fritt Ord Award
Q12391021	José Fernando Martínez Rodilla
Q1508415	Tobias Portschy
Q16787549	Joandomènec Ros
Q239105	Graça Machel
Q679817	Chairman of the Verkhovna Rada
Q5992409	Ignacio Prendes
Q3592420	Étienne de La Vallée Poussin
Q474344	Amos de-Shalit
Q688684	Great Central Railway
Q58298	Alexandru Marghiloman
Q7273	Ellen Swallow Richards
Q6524988	Leona Baumgartner
Q4007773	Valentinos Sielis
Q108173	Kirsten Lühmann
Q365172	Carlos Arias Navarro
Q235834	Ronald George Wreyford Norrish
Q976395	Alessio Scarpi
Q2150162	Richard Mallié
Q351061	Ryan Tedder
Q10483256	A Pigeon Sat on a Branch Reflecting on Existence
Q55195	Vsevolod Pudovkin
Q3345838	Noël Kinsella
Q289113	Étienne-Denis Pasquier
Q1711470	Srđan Todorović
Q451331	Jacques Tits
Q5589680	Governor of Michigan
Q2644212	Alf Agar
Q54829	Corporación Radio y Televisión Española S.A.
Q7346802	Robert Lee Constable
Q115993	Tomorrow, When the War Began
Q14905807	Order of St. George, 2nd class
Q1297898	Egidius Sadeler
Q11443689	Hiroshi Amano
Q2420654	Gonzalo García Gudiel
Q10407045	Kaid Mohamed
Q60285	Ernst Troeltsch
Q20644795	FSK 6
Q126332	David Meyler
Q384258	Jari Vanhala
Q551132	Jean-Baptiste Isabey
Q556714	Leslie Claudius
Q597609	Dardenne brothers
Q21667677	A woman with a baby
Q1430959	Lars Edvard Phragmén
Q370312	Arthur Dewey Struble
Q5865749	Francisco Fuentes Gallardo
Q5659178	Harmon Trophy
Q844804	Cannes Film Festival Grand Prix
Q597023	Yuzuru Hanyu
Q1295163	Franz Heinen
Q571803	Maciej Giertych
Q56024	President of the Bundestag
Q1091178	The Sea
Q545223	Mitsuyo Kakuta
Q15136093	Andy Mabbett
Q3372998	Johan Rabaeus
Q6236539	John Guest
Q172720	Dani Alves
Q4990196	Claire Ward
Q6535467	Levi Mackin
Q344802	Sancho Ramírez
Q7528679	Sir Richard Wells, 1st Baronet
Q5606146	Greg Pope
Q1029504	University of National and World Economy
Q3619256	Antonio Bernocchi
Q2156808	Robert D. Blue
Q96006	Erich Loest
Q6128407	James Agg-Gardner
Q3487437	The Alternative Factor
Q5080806	Charles McCurdy
Q6791746	Mattia Montini
Q607524	Destry Rides Again
Q339677	Mathias Énard
Q7417179	Sandy Brown
Q270145	National University of San Marcos
Q3301202	Maurice Nivat
Q1675956	Ivan Kapitanets
Q6883233	Mitsuhiro Yanagida
Q6291044	Joss Labadie
Q1634716	Hughie McAuley
Q18808367	Ronnie Steel
Q2148949	Richard A. Tapia
Q20647740	Tania Mathias
Q1283268	Leo Penn
Q2914048	On My Way
Q903825	Gábor Demszky
Q4757069	Andrew Gault
Q381285	Ralph Richardson
Q19819955	P. Ellis Eyton
Q5551817	German submarine U-772
Q1064011	Octavio Lepage
Q4491999	Siegfried von Forstner
Q843907	David Davis
Q6245317	John Loughlan
Q185024	Ivan Konev
Q15895305	Minister of the Navy
Q1029	Mozambique
Q7861577	Tyrone Barnett
Q1129396	2009 Giro d'Italia
Q5301612	Douglas Houghton, Baron Houghton of Sowerby
Q82984	Pierre de Coubertin
Q434864	Véronique Silver
Q4444895	Edgar Howard Sturtevant
Q776212	Lucas Cantoro
Q436910	Pauline Kael
Q6391007	Kenny Clements
Q966255	Domingo Tarasconi
Q2421416	Blanche Barretta
Q1088431	Rafael Sánchez Guerra
Q449822	Lin Shaye
Q12282053	Ioannis Sontis
Q1402542	Light Years Away
Q7528834	Sir Robert Perks, 1st Baronet
Q15783490	Anil K. Jain
Q296403	Lamar Odom
Q644875	Thomas Bell
Q18331564	Alexander Sandford
Q7167325	Percy Herbert
Q7330549	Richie Norman
Q5930759	Hugh Fisher
Q20851003	Ousmane Dembélé
Q2051849	K. J. Yesudas
Q7966248	Walter T. Kerwin, Jr.
Q56605206	Jean Terles
Q970461	Tim Bishop
Q4752068	Anatol Țăranu
Q615168	Aníbal Matellán
Q5040297	Carl Heggs
Q4380412	Yury Anatolyevich Prokofiev
Q5551480	Nicky Adams
Q1607815	Renzo Castagnini
Q12010873	Shoukang Xie
Q106376	Otto Schlüter
Q1162836	Daniel Summerhill
Q3183222	Jon Parkin
Q404209	Keith Millard
Q7529361	Sir Walter Barttelot, 1st Baronet
Q4016345	Volturno Diotallevi
Q21534322	Jan Beenakker
Q2713078	Franco Cristaldi
Q3531336	Tommy Maddox
Q1727081	Neil Blaney
Q1578673	Hans Bernsdorff
Q850151	Győző Bruckner
Q16013715	John O'Brien
Q46564626	Gustave Gain
Q203219	Boris Karloff
Q2405326	Emmanuel Maubert
Q3629023	EMI Records
Q96755	Antonio Rüdiger
Q600681	1992–93 Fußball-Bundesliga
Q28032	1992–93 Cypriot Cup
Q240370	Robert Riskin
Q5292506	Don Dearson
Q2655002	Robin Olds
Q20738643	Louis Alexander MacKay
Q354323	Children's Literature Legacy Award
Q1407587	Giorgio Bernardis
Q53452	John II Casimir Vasa
Q1984623	Doctor of Divinity
Q1277122	Earl Muetterties
Q459041	Ambroise Vollard
Q6791328	Matthew Tipton
Q4313304	People's Artist of Byelorussian SSR
Q778	Bahamas
Q1231072	1992–93 French Division 1
Q2347820	German submarine U-381
Q2082081	Francis Graham-Smith
Q188808	PlayStation Vita
Q16016312	Tommy Varty
Q26932946	René Born
Q313059	Willem de Sitter
Q337563	Vera Baird
Q85627	Curt Meyer-Clason
Q205435	Billy Zane
Q5080955	Charles Mills, 2nd Baron Hillingdon
Q7297132	Ray Allen Billington
Q1273278	Igor Maslennikov
Q5606671	Gregor Rioch
Q360371	Antony Gormley
Q5592802	Graham Edwards
Q23948189	Mihail Schina
Q123522	Wolfgang Hoffmann-Riem
Q96809	Peter Bergmann
Q1981162	Tovstonogov Bolshoi Drama Theater
Q12266621	Robert Cornevin
Q5498541	Frederick Peel
Q1502820	Philip von Schantz
Q1395579	Maurício Corrêa
Q521948	Smokey and the Bandit
Q85796	Luc Jochimsen
Q1322713	1991 Rugby World Cup
Q21298	Reichshoffen
Q64706454	Tropical Depression Sixteen-E
Q6260514	Johnny Thomas
Q1612747	Raffaele Cerbone
Q945461	Nathaniel Bliss
Q434859	Ilya Kovalchuk
Q30184438	TWAS fellow
Q3081054	Francesco Pernigo
Q819038	1974–75 Fußball-Bundesliga
Q2041089	Otto Ziebill
Q888366	William Hendricks
Q230954	Shirley Strickland
Q842073	Awakenings
Q2594	Theodor Heuss
Q728167	David Jones
Q3335971	Emperor Napoleon
Q7526604	Sir Edward Ruggles-Brise, 1st Baronet
Q3203178	Taking Wing
Q100511	Willibald Sauerländer
Q3353826	2006 Tashkent Open
Q3311147	Michel de Boüard
Q239739	Octavia E. Butler
Q13132369	William Owen Stanley
Q235068	Claudio Ranieri
Q387484	Elio Rinero
Q542623	2009 Norwegian Football Cup
Q56818255	ambassador of the United Kingdom to the Soviet Union
Q333046	David Howell, Baron Howell of Guildford
Q1360144	Ernst Schröder
Q1933409	Mike Nickeas
Q1387214	James Brady
Q21088360	Dmitry Andrianov
Q3182803	John Zachary Young
Q5676003	Andrés Ollero
